T0,T2,T1,lagT0,lagT1,lagT2,reponseT1,reponseT2,related
FOGÓN,XCOCINA,4444444,7,1,12,j,j,1
ÁGUILA,XPÁJARO,7777777,10,3,7,f,j,1
NOVELA,XLIBROX,9999999,10,3,7,f,j,1
EBRIO,XSOBRIO,2222222,10,7,3,j,j,1
TRUENO,XXRAYOX,7777777,7,3,10,f,j,1
CAMISETA,PANTALÓN,9999999,7,3,10,f,j,1
COCHE,XXMOTOX,8888888,10,1,9,j,j,1
MES,XXAÑOXX,2222222,10,3,7,j,j,1
BRISA,XVIENTO,2222222,10,1,9,j,j,1
VAPOR,XXVAHOX,9999999,7,3,10,f,j,1
ENCHUFE,XCABLEX,6666666,7,3,10,j,j,1
ABEJA,XAVISPA,3333333,10,1,9,f,j,1
PLATO,XCUENCO,2222222,10,1,9,j,j,1
VIVIR,XMORIRX,3333333,7,7,6,f,j,1
CERCA,XLEJOSX,5555555,10,1,9,f,j,1
GANAR,XPERDER,9999999,10,7,3,f,j,1
AZÚCAR,XDULCEX,8888888,10,1,9,j,j,1
MOQUETA,FELPUDO,8888888,10,1,9,j,j,1
PAR,XIMPARX,4444444,7,7,6,j,j,1
ROCA,XPIEDRA,3333333,10,3,7,f,j,1
DEJAR,MARCHAR,6666666,10,1,9,j,j,1
PASILLO,XXFILAX,7777777,10,3,7,f,j,1
ABRIR,XCERRAR,5555555,10,1,9,f,j,1
CONSOLA,XMANDOX,2222222,10,1,9,j,j,1
FALDA,VESTIDO,5555555,7,1,12,f,j,1
FUERA,XDENTRO,8888888,10,1,9,j,j,1
VENTA,SUBASTA,7777777,10,3,7,f,j,1
ARRIBA,XABAJOX,7777777,10,3,7,f,j,1
DINERO,XCHEQUE,7777777,7,1,12,f,j,1
RABO,XXCOLAX,6666666,10,7,3,j,j,1
CURA,IGLESIA,5555555,10,3,7,f,j,1
GOTA,XCHARCO,4444444,7,3,10,j,j,1
NIEVE,XLLUVIA,9999999,10,1,9,f,j,1
DIPLOMA,XGRADOX,8888888,10,1,9,j,j,1
GOSPEL,XXCOROX,8888888,10,3,7,j,j,1
CHEDDAR,XQUESOX,9999999,10,7,3,f,j,1
TINTA,BOLÍGRAFO,8888888,7,7,6,j,j,1
ABRAZO,XXBESOX,8888888,7,3,10,j,j,1
CRECER,ENCOGER,9999999,10,1,9,f,j,1
NORTE,XXSURXX,2222222,10,1,9,j,j,1
MONO,XSIMIOX,4444444,10,1,9,j,j,1
MELODÍA,XXTONOX,7777777,10,1,9,f,j,1
